date,from,to,number
2025-08-01,東京都,青森県,0
2025-08-02,東京都,青森県,1
2025-08-03,東京都,青森県,0
2025-08-04,東京都,青森県,2
2025-08-05,東京都,青森県,2
2025-08-06,東京都,青森県,1
2025-08-07,東京都,青森県,3
2025-08-08,東京都,青森県,2
2025-08-09,東京都,青森県,1
2025-08-10,東京都,青森県,2
2025-08-11,東京都,青森県,1
2025-08-12,東京都,青森県,1
2025-08-13,東京都,青森県,0
2025-08-14,東京都,青森県,2
2025-08-15,東京都,青森県,1
2025-08-16,東京都,青森県,3
2025-08-17,東京都,青森県,2
2025-08-18,東京都,青森県,1
2025-08-19,東京都,青森県,3
2025-08-20,東京都,青森県,2
2025-08-21,東京都,青森県,1
2025-08-22,東京都,青森県,3
2025-08-23,東京都,青森県,2
2025-08-24,東京都,青森県,1
2025-08-25,東京都,青森県,3
2025-08-26,東京都,青森県,2
2025-08-27,東京都,青森県,1
2025-08-28,東京都,青森県,3
2025-08-29,東京都,青森県,2
2025-08-30,東京都,青森県,1
2025-08-01,東京都,宮城県,1
2025-08-02,東京都,宮城県,0
2025-08-03,東京都,宮城県,3
2025-08-04,東京都,宮城県,3
2025-08-05,東京都,宮城県,2
2025-08-06,東京都,宮城県,3
2025-08-07,東京都,宮城県,4
2025-08-08,東京都,宮城県,2
2025-08-09,東京都,宮城県,1
2025-08-10,東京都,宮城県,3
2025-08-11,東京都,宮城県,2
2025-08-12,東京都,宮城県,1
2025-08-13,東京都,宮城県,3
2025-08-14,東京都,宮城県,2
2025-08-15,東京都,宮城県,1
2025-08-16,東京都,宮城県,3
2025-08-17,東京都,宮城県,2
2025-08-18,東京都,宮城県,1
2025-08-19,東京都,宮城県,3
2025-08-20,東京都,宮城県,2
2025-08-21,東京都,宮城県,1
2025-08-22,東京都,宮城県,3
2025-08-23,東京都,宮城県,2
2025-08-24,東京都,宮城県,1
2025-08-25,東京都,宮城県,3
2025-08-26,東京都,宮城県,2
2025-08-27,東京都,宮城県,1
2025-08-28,東京都,宮城県,3
2025-08-29,東京都,宮城県,2
2025-08-30,東京都,宮城県,1
2025-08-01,東京都,北海道,0
2025-08-02,東京都,北海道,0
2025-08-03,東京都,北海道,0
2025-08-04,東京都,北海道,1
2025-08-05,東京都,北海道,2
2025-08-06,東京都,北海道,2
2025-08-07,東京都,北海道,0
2025-08-08,東京都,北海道,0
2025-08-09,東京都,北海道,0
2025-08-10,東京都,北海道,1
2025-08-11,東京都,北海道,0
2025-08-12,東京都,北海道,0
2025-08-13,東京都,北海道,0
2025-08-14,東京都,北海道,2
2025-08-15,東京都,北海道,0
2025-08-16,東京都,北海道,1
2025-08-17,東京都,北海道,0
2025-08-18,東京都,北海道,0
2025-08-19,東京都,北海道,0
2025-08-20,東京都,北海道,1
2025-08-21,東京都,北海道,0
2025-08-22,東京都,北海道,0
2025-08-23,東京都,北海道,0
2025-08-24,東京都,北海道,0
2025-08-25,東京都,北海道,0
2025-08-26,東京都,北海道,1
2025-08-27,東京都,北海道,2
2025-08-28,東京都,北海道,2
2025-08-29,東京都,北海道,0
2025-08-30,東京都,北海道,1
2025-08-01,東京都,埼玉県,1
2025-08-02,東京都,埼玉県,1
2025-08-03,東京都,埼玉県,0
2025-08-04,東京都,埼玉県,0
2025-08-05,東京都,埼玉県,0
2025-08-06,東京都,埼玉県,0
2025-08-07,東京都,埼玉県,0
2025-08-08,東京都,埼玉県,0
2025-08-09,東京都,埼玉県,0
2025-08-10,東京都,埼玉県,0
2025-08-11,東京都,埼玉県,0
2025-08-12,東京都,埼玉県,0
2025-08-13,東京都,埼玉県,1
2025-08-14,東京都,埼玉県,0
2025-08-15,東京都,埼玉県,0
2025-08-16,東京都,埼玉県,0
2025-08-17,東京都,埼玉県,0
2025-08-18,東京都,埼玉県,0
2025-08-19,東京都,埼玉県,0
2025-08-20,東京都,埼玉県,0
2025-08-21,東京都,埼玉県,0
2025-08-22,東京都,埼玉県,0
2025-08-23,東京都,埼玉県,0
2025-08-24,東京都,埼玉県,0
2025-08-25,東京都,埼玉県,0
2025-08-26,東京都,埼玉県,0
2025-08-27,東京都,埼玉県,0
2025-08-28,東京都,埼玉県,0
2025-08-29,東京都,埼玉県,0
2025-08-30,東京都,埼玉県,0
2025-08-01,東京都,愛知県,0
2025-08-02,東京都,愛知県,0
2025-08-03,東京都,愛知県,0
2025-08-04,東京都,愛知県,0
2025-08-05,東京都,愛知県,0
2025-08-06,東京都,愛知県,0
2025-08-07,東京都,愛知県,0
2025-08-08,東京都,愛知県,0
2025-08-09,東京都,愛知県,0
2025-08-10,東京都,愛知県,0
2025-08-11,東京都,愛知県,0
2025-08-12,東京都,愛知県,0
2025-08-13,東京都,愛知県,0
2025-08-14,東京都,愛知県,0
2025-08-15,東京都,愛知県,0
2025-08-16,東京都,愛知県,0
2025-08-17,東京都,愛知県,0
2025-08-18,東京都,愛知県,0
2025-08-19,東京都,愛知県,1
2025-08-20,東京都,愛知県,1
2025-08-21,東京都,愛知県,1
2025-08-22,東京都,愛知県,1
2025-08-23,東京都,愛知県,1
2025-08-24,東京都,愛知県,1
2025-08-25,東京都,愛知県,1
2025-08-26,東京都,愛知県,1
2025-08-27,東京都,愛知県,1
2025-08-28,東京都,愛知県,1
2025-08-29,東京都,愛知県,1
2025-08-30,東京都,愛知県,1
2025-08-01,東京都,新潟県,1
2025-08-02,東京都,新潟県,1
2025-08-03,東京都,新潟県,1
2025-08-04,東京都,新潟県,0
2025-08-05,東京都,新潟県,1
2025-08-06,東京都,新潟県,1
2025-08-07,東京都,新潟県,1
2025-08-08,東京都,新潟県,2
2025-08-09,東京都,新潟県,1
2025-08-10,東京都,新潟県,1
2025-08-11,東京都,新潟県,0
2025-08-12,東京都,新潟県,1
2025-08-13,東京都,新潟県,1
2025-08-14,東京都,新潟県,1
2025-08-15,東京都,新潟県,1
2025-08-16,東京都,新潟県,1
2025-08-17,東京都,新潟県,0
2025-08-18,東京都,新潟県,0
2025-08-19,東京都,新潟県,0
2025-08-20,東京都,新潟県,1
2025-08-21,東京都,新潟県,1
2025-08-22,東京都,新潟県,1
2025-08-23,東京都,新潟県,1
2025-08-24,東京都,新潟県,1
2025-08-25,東京都,新潟県,1
2025-08-26,東京都,新潟県,1
2025-08-27,東京都,新潟県,1
2025-08-28,東京都,新潟県,1
2025-08-29,東京都,新潟県,1
2025-08-30,東京都,新潟県,1
2025-08-01,東京都,埼玉県,0
2025-08-02,東京都,埼玉県,0
2025-08-03,東京都,埼玉県,1
2025-08-04,東京都,埼玉県,0
2025-08-05,東京都,埼玉県,0
2025-08-06,東京都,埼玉県,0
2025-08-07,東京都,埼玉県,0
2025-08-08,東京都,埼玉県,0
2025-08-09,東京都,埼玉県,0
2025-08-10,東京都,埼玉県,0
2025-08-11,東京都,埼玉県,0
2025-08-12,東京都,埼玉県,0
2025-08-13,東京都,埼玉県,0
2025-08-14,東京都,埼玉県,0
2025-08-15,東京都,埼玉県,0
2025-08-16,東京都,埼玉県,0
2025-08-17,東京都,埼玉県,0
2025-08-18,東京都,埼玉県,0
2025-08-19,東京都,埼玉県,0
2025-08-20,東京都,埼玉県,0
2025-08-21,東京都,埼玉県,0
2025-08-22,東京都,埼玉県,0
2025-08-23,東京都,埼玉県,0
2025-08-24,東京都,埼玉県,0
2025-08-25,東京都,埼玉県,0
2025-08-26,東京都,埼玉県,0
2025-08-27,東京都,埼玉県,0
2025-08-28,東京都,埼玉県,0
2025-08-29,東京都,埼玉県,0
2025-08-30,東京都,埼玉県,0
2025-08-01,東京都,神奈川県,1
2025-08-02,東京都,神奈川県,0
2025-08-03,東京都,神奈川県,2
2025-08-04,東京都,神奈川県,2
2025-08-05,東京都,神奈川県,0
2025-08-06,東京都,神奈川県,2
2025-08-07,東京都,神奈川県,2
2025-08-08,東京都,神奈川県,0
2025-08-09,東京都,神奈川県,0
2025-08-10,東京都,神奈川県,0
2025-08-11,東京都,神奈川県,2
2025-08-12,東京都,神奈川県,1
2025-08-13,東京都,神奈川県,1
2025-08-14,東京都,神奈川県,1
2025-08-15,東京都,神奈川県,1
2025-08-16,東京都,神奈川県,1
2025-08-17,東京都,神奈川県,1
2025-08-18,東京都,神奈川県,0
2025-08-19,東京都,神奈川県,0
2025-08-20,東京都,神奈川県,1
2025-08-21,東京都,神奈川県,0
2025-08-22,東京都,神奈川県,0
2025-08-23,東京都,神奈川県,0
2025-08-24,東京都,神奈川県,0
2025-08-25,東京都,神奈川県,0
2025-08-26,東京都,神奈川県,0
2025-08-27,東京都,神奈川県,0
2025-08-28,東京都,神奈川県,0
2025-08-29,東京都,神奈川県,0
2025-08-30,東京都,神奈川県,0
2025-08-01,埼玉県,千葉県,1
2025-08-02,埼玉県,千葉県,1
2025-08-03,埼玉県,千葉県,1
2025-08-04,埼玉県,千葉県,0
2025-08-05,埼玉県,千葉県,0
2025-08-06,埼玉県,千葉県,0
2025-08-07,埼玉県,千葉県,0
2025-08-08,埼玉県,千葉県,0
2025-08-09,埼玉県,千葉県,0
2025-08-10,埼玉県,千葉県,0
2025-08-11,埼玉県,千葉県,0
2025-08-12,埼玉県,千葉県,0
2025-08-13,埼玉県,千葉県,0
2025-08-14,埼玉県,千葉県,0
2025-08-15,埼玉県,千葉県,0
