date,from,to,number
2025-09-01,東京都,青森県,3
2025-09-02,東京都,青森県,2
2025-09-03,東京都,青森県,1
2025-09-04,東京都,青森県,3
2025-09-05,東京都,青森県,2
2025-09-06,東京都,青森県,1
2025-09-07,東京都,青森県,3
2025-09-08,東京都,青森県,2
2025-09-09,東京都,青森県,1
2025-09-10,東京都,青森県,3
2025-09-11,東京都,青森県,2
2025-09-12,東京都,青森県,1
2025-09-13,東京都,青森県,3
2025-09-14,東京都,青森県,2
2025-09-15,東京都,青森県,1
2025-09-16,東京都,青森県,3
2025-09-17,東京都,青森県,2
2025-09-18,東京都,青森県,1
2025-09-19,東京都,青森県,3
2025-09-20,東京都,青森県,2
2025-09-21,東京都,青森県,1
2025-09-22,東京都,青森県,3
2025-09-23,東京都,青森県,2
2025-09-24,東京都,青森県,1
2025-09-25,東京都,青森県,3
2025-09-26,東京都,青森県,2
2025-09-27,東京都,青森県,1
2025-09-28,東京都,青森県,3
2025-09-29,東京都,青森県,2
2025-09-30,東京都,青森県,1
2025-09-01,東京都,宮城県,3
2025-09-02,東京都,宮城県,2
2025-09-03,東京都,宮城県,1
2025-09-04,東京都,宮城県,3
2025-09-05,東京都,宮城県,2
2025-09-06,東京都,宮城県,1
2025-09-07,東京都,宮城県,3
2025-09-08,東京都,宮城県,2
2025-09-09,東京都,宮城県,1
2025-09-10,東京都,宮城県,3
2025-09-11,東京都,宮城県,2
2025-09-12,東京都,宮城県,1
2025-09-13,東京都,宮城県,3
2025-09-14,東京都,宮城県,2
2025-09-15,東京都,宮城県,1
2025-09-16,東京都,宮城県,3
2025-09-17,東京都,宮城県,2
2025-09-18,東京都,宮城県,1
2025-09-19,東京都,宮城県,3
2025-09-20,東京都,宮城県,2
2025-09-21,東京都,宮城県,1
2025-09-22,東京都,宮城県,3
2025-09-23,東京都,宮城県,2
2025-09-24,東京都,宮城県,1
2025-09-25,東京都,宮城県,3
2025-09-26,東京都,宮城県,2
2025-09-27,東京都,宮城県,1
2025-09-28,東京都,宮城県,3
2025-09-29,東京都,宮城県,2
2025-09-30,東京都,宮城県,1
2025-09-01,東京都,北海道,0
2025-09-02,東京都,北海道,0
2025-09-03,東京都,北海道,0
2025-09-04,東京都,北海道,1
2025-09-05,東京都,北海道,2
2025-09-06,東京都,北海道,2
2025-09-07,東京都,北海道,0
2025-09-08,東京都,北海道,0
2025-09-09,東京都,北海道,0
2025-09-10,東京都,北海道,1
2025-09-11,東京都,北海道,0
2025-09-12,東京都,北海道,0
2025-09-13,東京都,北海道,0
2025-09-14,東京都,北海道,2
2025-09-15,東京都,北海道,0
2025-09-16,東京都,北海道,1
2025-09-17,東京都,北海道,0
2025-09-18,東京都,北海道,0
2025-09-19,東京都,北海道,0
2025-09-20,東京都,北海道,1
2025-09-21,東京都,北海道,0
2025-09-22,東京都,北海道,0
2025-09-23,東京都,北海道,0
2025-09-24,東京都,北海道,0
2025-09-25,東京都,北海道,0
2025-09-26,東京都,北海道,1
2025-09-27,東京都,北海道,2
2025-09-28,東京都,北海道,2
2025-09-29,東京都,北海道,0
2025-09-30,東京都,北海道,1
2025-09-01,東京都,埼玉県,1
2025-09-02,東京都,埼玉県,1
2025-09-03,東京都,埼玉県,0
2025-09-04,東京都,埼玉県,0
2025-09-05,東京都,埼玉県,0
2025-09-06,東京都,埼玉県,0
2025-09-07,東京都,埼玉県,0
2025-09-08,東京都,埼玉県,0
2025-09-09,東京都,埼玉県,0
2025-09-10,東京都,埼玉県,0
2025-09-11,東京都,埼玉県,0
2025-09-12,東京都,埼玉県,0
2025-09-13,東京都,埼玉県,1
2025-09-14,東京都,埼玉県,0
2025-09-15,東京都,埼玉県,0
2025-09-16,東京都,埼玉県,0
2025-09-17,東京都,埼玉県,0
2025-09-18,東京都,埼玉県,0
2025-09-19,東京都,埼玉県,0
2025-09-20,東京都,埼玉県,0
2025-09-21,東京都,埼玉県,0
2025-09-22,東京都,埼玉県,0
2025-09-23,東京都,埼玉県,0
2025-09-24,東京都,埼玉県,0
2025-09-25,東京都,埼玉県,0
2025-09-26,東京都,埼玉県,0
2025-09-27,東京都,埼玉県,0
2025-09-28,東京都,埼玉県,0
2025-09-29,東京都,埼玉県,0
2025-09-30,東京都,埼玉県,0
2025-09-01,東京都,愛知県,0
2025-09-02,東京都,愛知県,0
2025-09-03,東京都,愛知県,0
2025-09-04,東京都,愛知県,0
2025-09-05,東京都,愛知県,0
2025-09-06,東京都,愛知県,0
2025-09-07,東京都,愛知県,0
2025-09-08,東京都,愛知県,0
2025-09-09,東京都,愛知県,0
2025-09-10,東京都,愛知県,0
2025-09-11,東京都,愛知県,0
2025-09-12,東京都,愛知県,0
2025-09-13,東京都,愛知県,0
2025-09-14,東京都,愛知県,0
2025-09-15,東京都,愛知県,0
2025-09-16,東京都,愛知県,0
2025-09-17,東京都,愛知県,0
2025-09-18,東京都,愛知県,0
2025-09-19,東京都,愛知県,1
2025-09-20,東京都,愛知県,1
2025-09-21,東京都,愛知県,1
2025-09-22,東京都,愛知県,1
2025-09-23,東京都,愛知県,1
2025-09-24,東京都,愛知県,1
2025-09-25,東京都,愛知県,1
2025-09-26,東京都,愛知県,1
2025-09-27,東京都,愛知県,1
2025-09-28,東京都,愛知県,1
2025-09-29,東京都,愛知県,1
2025-09-30,東京都,愛知県,1
2025-09-01,東京都,新潟県,1
2025-09-02,東京都,新潟県,1
2025-09-03,東京都,新潟県,1
2025-09-04,東京都,新潟県,0
2025-09-05,東京都,新潟県,1
2025-09-06,東京都,新潟県,1
2025-09-07,東京都,新潟県,1
2025-09-08,東京都,新潟県,2
2025-09-09,東京都,新潟県,1
2025-09-10,東京都,新潟県,1
2025-09-11,東京都,新潟県,0
2025-09-12,東京都,新潟県,1
2025-09-13,東京都,新潟県,1
2025-09-14,東京都,新潟県,1
2025-09-15,東京都,新潟県,1
2025-09-16,東京都,新潟県,1
2025-09-17,東京都,新潟県,0
