date,pref,actual,forecast,rate
2025-09-01,北海道,2,3,0.67
2025-09-01,青森県,2,3,0.67
2025-09-01,宮城県,2,4,0.5
2025-09-01,福島県,2,4,0.5
2025-09-01,東京都,2,3,0.67
2025-09-01,神奈川県,2,3,0.67
2025-09-01,埼玉県,2,3,0.67
2025-09-01,千葉県,2,3,0.67
2025-09-01,新潟県,2,4,0.5
2025-09-01,長野県,2,3,0.67
2025-09-01,愛知県,2,3,0.67
2025-09-01,静岡県,2,4,0.5
2025-09-01,大阪府,2,3,0.67
2025-09-01,京都府,3,4,0.75
2025-09-01,兵庫県,2,3,0.67
2025-09-01,広島県,2,3,0.67
2025-09-01,岡山県,2,4,0.5
2025-09-01,福岡県,2,4,0.5
2025-09-01,熊本県,2,3,0.67
2025-09-01,鹿児島県,3,4,0.75
2025-09-02,北海道,2,4,0.5
2025-09-02,青森県,3,4,0.75
2025-09-02,宮城県,3,4,0.75
2025-09-02,福島県,2,4,0.5
2025-09-02,東京都,2,4,0.5
2025-09-02,神奈川県,2,4,0.5
2025-09-02,埼玉県,2,4,0.5
2025-09-02,千葉県,2,4,0.5
2025-09-02,新潟県,2,4,0.5
2025-09-02,長野県,2,4,0.5
2025-09-02,愛知県,2,4,0.5
2025-09-02,静岡県,2,4,0.5
2025-09-02,大阪府,2,4,0.5
2025-09-02,京都府,2,4,0.5
2025-09-02,兵庫県,2,4,0.5
2025-09-02,広島県,3,4,0.75
2025-09-02,岡山県,3,4,0.75
2025-09-02,福岡県,3,4,0.75
2025-09-02,熊本県,3,4,0.75
2025-09-02,鹿児島県,3,4,0.75
2025-09-03,北海道,3,4,0.75
2025-09-03,青森県,3,4,0.75
2025-09-03,宮城県,3,4,0.75
2025-09-03,福島県,3,4,0.75
2025-09-03,東京都,2,3,0.67
2025-09-03,神奈川県,2,3,0.67
2025-09-03,埼玉県,2,3,0.67
2025-09-03,千葉県,2,3,0.67
2025-09-03,新潟県,2,3,0.67
2025-09-03,長野県,2,3,0.67
2025-09-03,愛知県,2,3,0.67
2025-09-03,静岡県,2,3,0.67
2025-09-03,大阪府,2,3,0.67
2025-09-03,京都府,2,3,0.67
2025-09-03,兵庫県,2,3,0.67
2025-09-03,広島県,2,3,0.67
2025-09-03,岡山県,2,3,0.67
2025-09-03,福岡県,2,3,0.67
2025-09-03,熊本県,2,3,0.67
2025-09-03,鹿児島県,2,3,0.67
2025-09-04,北海道,3,4,0.75
2025-09-04,青森県,3,4,0.75
2025-09-04,宮城県,3,4,0.75
2025-09-04,福島県,3,4,0.75
2025-09-04,東京都,3,4,0.75
2025-09-04,神奈川県,2,3,0.67
2025-09-04,埼玉県,2,3,0.67
2025-09-04,千葉県,2,3,0.67
2025-09-04,新潟県,2,3,0.67
2025-09-04,長野県,2,3,0.67
2025-09-04,愛知県,2,3,0.67
2025-09-04,静岡県,2,3,0.67
2025-09-04,大阪府,2,3,0.67
2025-09-04,京都府,2,3,0.67
2025-09-04,兵庫県,2,3,0.67
2025-09-04,広島県,2,3,0.67
2025-09-04,岡山県,2,3,0.67
2025-09-04,福岡県,2,3,0.67
2025-09-04,熊本県,2,3,0.67
2025-09-04,鹿児島県,2,3,0.67
2025-09-05,北海道,2,2,1
2025-09-05,青森県,2,2,1
2025-09-05,宮城県,2,2,1
2025-09-05,福島県,2,2,1
2025-09-05,東京都,2,2,1
2025-09-05,神奈川県,2,2,1
2025-09-05,埼玉県,2,2,1
2025-09-05,千葉県,2,2,1
2025-09-05,新潟県,2,2,1
2025-09-05,長野県,2,2,1
2025-09-05,愛知県,2,2,1
2025-09-05,静岡県,2,2,1
2025-09-05,大阪府,2,2,1
2025-09-05,京都府,2,2,1
2025-09-05,兵庫県,2,2,1
2025-09-05,広島県,2,2,1
2025-09-05,岡山県,2,2,1
2025-09-05,福岡県,2,2,1
2025-09-05,熊本県,2,2,1
2025-09-05,鹿児島県,2,2,1
2025-09-06,北海道,3,2,1.5
2025-09-06,青森県,3,2,1.5
2025-09-06,宮城県,3,2,1.5
2025-09-06,福島県,3,2,1.5
2025-09-06,東京都,3,2,1.5
2025-09-06,神奈川県,3,2,1.5
2025-09-06,埼玉県,3,2,1.5
2025-09-06,千葉県,3,2,1.5
2025-09-06,新潟県,3,2,1.5
2025-09-06,長野県,3,2,1.5
2025-09-06,愛知県,3,2,1.5
2025-09-06,静岡県,3,2,1.5
2025-09-06,大阪府,3,2,1.5
2025-09-06,京都府,3,2,1.5
2025-09-06,兵庫県,3,2,1.5
2025-09-06,広島県,3,2,1.5
2025-09-06,岡山県,3,2,1.5
2025-09-06,福岡県,3,2,1.5
2025-09-06,熊本県,3,2,1.5
2025-09-06,鹿児島県,3,2,1.5
2025-09-07,北海道,2,4,0.5
2025-09-07,青森県,2,4,0.5
2025-09-07,宮城県,2,4,0.5
2025-09-07,福島県,2,4,0.5
2025-09-07,東京都,2,4,0.5
2025-09-07,神奈川県,2,4,0.5
2025-09-07,埼玉県,2,4,0.5
2025-09-07,千葉県,2,4,0.5
2025-09-07,新潟県,2,4,0.5
2025-09-07,長野県,2,4,0.5
2025-09-07,愛知県,2,4,0.5
2025-09-07,静岡県,2,4,0.5
2025-09-07,大阪府,2,4,0.5
2025-09-07,京都府,2,4,0.5
2025-09-07,兵庫県,2,4,0.5
2025-09-07,広島県,2,4,0.5
2025-09-07,岡山県,2,4,0.5
2025-09-07,福岡県,2,4,0.5
2025-09-07,熊本県,2,4,0.5
2025-09-07,鹿児島県,2,4,0.5
2025-09-08,北海道,2,3,0.67
2025-09-08,青森県,2,3,0.67
2025-09-08,宮城県,2,3,0.67
2025-09-08,福島県,2,3,0.67
2025-09-08,東京都,2,3,0.67
2025-09-08,神奈川県,2,3,0.67
2025-09-08,埼玉県,2,3,0.67
2025-09-08,千葉県,2,3,0.67
2025-09-08,新潟県,2,3,0.67
2025-09-08,長野県,2,3,0.67
2025-09-08,愛知県,2,3,0.67
2025-09-08,静岡県,2,3,0.67
2025-09-08,大阪府,2,3,0.67
2025-09-08,京都府,2,3,0.67
2025-09-08,兵庫県,2,3,0.67
2025-09-08,広島県,2,3,0.67
2025-09-08,岡山県,2,3,0.67
2025-09-08,福岡県,2,3,0.67
2025-09-08,熊本県,2,3,0.67
2025-09-08,鹿児島県,2,3,0.67
2025-09-09,北海道,2,2,1
2025-09-09,青森県,2,2,1
2025-09-09,宮城県,2,2,1
2025-09-09,福島県,2,2,1
2025-09-09,東京都,2,2,1
2025-09-09,神奈川県,2,2,1
2025-09-09,埼玉県,2,2,1
2025-09-09,千葉県,2,2,1
2025-09-09,新潟県,2,2,1
2025-09-09,長野県,2,2,1
2025-09-09,愛知県,2,2,1
2025-09-09,静岡県,2,2,1
2025-09-09,大阪府,2,2,1
2025-09-09,京都府,2,2,1
2025-09-09,兵庫県,2,2,1
2025-09-09,広島県,2,2,1
2025-09-09,岡山県,2,2,1
2025-09-09,福岡県,2,2,1
2025-09-09,熊本県,2,2,1
2025-09-09,鹿児島県,2,2,1
2025-09-10,北海道,3,2,1.5
2025-09-10,青森県,3,2,1.5
2025-09-10,宮城県,3,2,1.5
2025-09-10,福島県,3,2,1.5
2025-09-10,東京都,3,2,1.5
